
# Efinity Pinout Report
# Version: 2026.1.132
# Date: 2026-08-16 21:36

# Copyright (C) 2013 - 2026 Efinix Inc. All rights reserved.

# Device: T20F169
# Package status: final
# Project: t20f169_spi_debug
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
A1,GND,,Power,,,,,Ground
A2,MIPI0_TXDP0,,,2A,,,,
A3,MIPI0_TXDP2,,,2A,,,,
A4,MIPI0_TXDP4,,,2A,,,,
A5,MIPI0_RXDN0,,,2A,,,,
A6,MIPI0_RXDN2,,,2A,,,,
A7,MIPI0_RXDN4,,,2A,,,,
A8,MIPI1_TXDN0,,,2B,,,,
A9,MIPI1_TXDP2,,,2B,,,,
A10,MIPI1_TXDP4,,,2B,,,,
A11,MIPI1_RXDN0,,,2B,,,,
A12,MIPI1_RXDN2,,,2B,,,,
A13,GND,,Power,,,,,Ground
B1,GPIOL_75_PLLIN1,,Input,1E,3.3 V,,weak pullup,User IO/PLL_CLKIN
B2,MIPI0_TXDN0,,,2A,,,,
B3,MIPI0_TXDN2,,,2A,,,,
B4,MIPI0_TXDN4,,,2A,,,,
B5,MIPI0_RXDP0,,,2A,,,,
B6,MIPI0_RXDP2,,,2A,,,,
B7,MIPI0_RXDP4,,,2A,,,,
B8,MIPI1_TXDP0,,,2B,,,,
B9,MIPI1_TXDN2,,,2B,,,,
B10,MIPI1_TXDN4,,,2B,,,,
B11,MIPI1_RXDP0,,,2B,,,,
B12,MIPI1_RXDP2,,,2B,,,,
B13,MIPI1_RXDN4,,,2B,,,,
C1,GPIOL_73_EXTFB1_CDI15,,Input,1E,3.3 V,,weak pullup,User IO
C2,GPIOL_71_NSTATUS,,Input,1E,3.3 V,,weak pullup,User IO/Configuration
C3,VCC12A_MIPI0_TX,,Power,2A,,,,1.2 V MIPI TX Power
C4,MIPI0_TXDP1,,,2A,,,,
C5,MIPI0_TXDP3,,,2A,,,,
C6,MIPI0_RXDP1,,,2A,,,,
C7,MIPI0_RXDP3,,,2A,,,,
C8,MIPI1_TXDP1,,,2B,,,,
C9,MIPI1_TXDP3,,,2B,,,,
C10,MIPI1_RXDP1,,,2B,,,,
C11,GNDA_MIPI,,Power,,,,,MIPI Ground
C12,MIPI1_RXDP3,,,2B,,,,
C13,MIPI1_RXDP4,,,2B,,,,
D1,GPIOL_69_CBSEL1,,Input,1E,3.3 V,,weak pullup,User IO
D2,GPIOL_70_CBSEL0,,Input,1E,3.3 V,,weak pullup,User IO
D3,GNDA_MIPI,,Power,,,,,MIPI Ground
D4,MIPI0_TXDN1,,,2A,,,,
D5,MIPI0_TXDN3,,,2A,,,,
D6,MIPI0_RXDN1,,,2A,,,,
D7,MIPI0_RXDN3,,,2A,,,,
D8,MIPI1_TXDN1,,,2B,,,,
D9,MIPI1_TXDN3,,,2B,,,,
D10,MIPI1_RXDN1,,,2B,,,,
D11,GNDA_MIPI,,Power,,,,,MIPI Ground
D12,MIPI1_RXDN3,,,2B,,,,
D13,GPIOR_76_PLLIN0,,Input,3A_3B,3.3 V,,weak pullup,User IO/PLL_CLKIN
E1,GPIOL_20_CTRL0_CDI4,,Input,1B_1C_1D,3.3 V,,weak pullup,User IO/GCTRL
E2,GND,,Power,,,,,Ground
E3,GPIOL_74_PLLIN0,CLK_48Mhz,Input,1E,3.3 V,3.3 V LVTTL / LVCMOS,weak pullup,User IO/PLL_CLKIN
E4,VCC,,Power,,,,,1.2 V VCC Power
E5,GNDA_MIPI,,Power,,,,,MIPI Ground
E6,VCC12A_MIPI0_RX,,Power,2A,,,,1.2 V MIPI RX Power
E7,VCC25A_MIPI0,,Power,2A,,,,2.5 V MIPI Power
E8,VCC12A_MIPI1_TX,,Power,2B,,,,1.2 V MIPI TX Power
E9,VCC25A_MIPI1,,Power,2B,,,,2.5 V MIPI Power
E10,VCC12A_MIPI1_RX,,Power,2B,,,,1.2 V MIPI RX Power
E11,GPIOR_85,,Input,3A_3B,3.3 V,,weak pullup,User IO
E12,GND,,Power,,,,,Ground
E13,GPIOR_78_EXTFB0_CDI31,,Input,3A_3B,3.3 V,,weak pullup,User IO
F1,GPIOL_12_CDI2,,Input,1B_1C_1D,3.3 V,,weak pullup,User IO
F2,GPIOL_21_CTRL1_CDI5,,Input,1B_1C_1D,3.3 V,,weak pullup,User IO/GCTRL
F3,GPIOL_72_EXTFB0_CDI14,,Input,1E,3.3 V,,weak pullup,User IO
F4,VCCIO1E,,Power,1E,3.3 V,,,VCCIO Power
F5,GND,,Power,,,,,Ground
F6,GND,,Power,,,,,Ground
F7,VCC,,Power,,,,,1.2 V VCC Power
F8,GND,,Power,,,,,Ground
F9,VCC,,Power,,,,,1.2 V VCC Power
F10,VCCIO3A_3B,,Power,3A_3B,3.3 V,,,VCCIO Power
F11,GPIOR_81_MREFCLK,,Input,3A_3B,3.3 V,,weak pullup,User IO/MIPI_CLKIN
F12,GPIOR_77_PLLIN1,,Input,3A_3B,3.3 V,,weak pullup,User IO/PLL_CLKIN
F13,GPIOR_119_CTRL12,,Input,3C_3D_3E,3.3 V,,weak pullup,User IO/GCTRL
G1,TDO,,Output,1A,3.3 V,,,Configuration
G2,GPIOL_13_CDI3,,Input,1B_1C_1D,3.3 V,,weak pullup,User IO
G3,GPIOL_25_CLK1,,Input,1B_1C_1D,3.3 V,,weak pullup,User IO/GCLK
G4,VCCA_TL,,Power,TL,,,,1.2 V PLL Power
G5,VCC,,Power,,,,,1.2 V VCC Power
G6,GND,,Power,,,,,Ground
G7,GND,,Power,,,,,Ground
G8,VCC,,Power,,,,,1.2 V VCC Power
G9,VCC,,Power,,,,,1.2 V VCC Power
G10,VCCA_TR,,Power,TR,,,,1.2 V PLL Power
G11,GPIOR_88_CDI28,LED[1],Output,3A_3B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
G12,GPIOR_120_CLK15,LED[2],Output,3C_3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCLK
G13,GPIOR_150_CBUS1,LED[0],Output,3C_3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/Configuration
H1,TCK,,Input,1A,3.3 V,,,Configuration
H2,TMS,,Input,1A,3.3 V,,,Configuration
H3,GPIOL_24_CLK0,,Input,1B_1C_1D,3.3 V,,weak pullup,User IO/GCLK
H4,VCCIO1B_1C_1D,,Power,1B_1C_1D,3.3 V,,,VCCIO Power
H5,VCCIO4B,,Power,4B,,,,VCCIO Power
H6,VCC,,Power,,,,,1.2 V VCC Power
H7,VCCIO4A,,Power,4A,,,,VCCIO Power
H8,VCCIO4A,,Power,4A,,,,VCCIO Power
H9,VCCIO4A,,Power,4A,,,,VCCIO Power
H10,VCCIO3C_3D_3E,,Power,3C_3D_3E,3.3 V,,,VCCIO Power
H11,GPIOR_121_CLK14,,Input,3C_3D_3E,3.3 V,,weak pullup,User IO/GCLK
H12,GPIOR_158_TEST_N,LED[4],Output,3C_3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/Configuration
H13,GPIOR_155,LED[3],Output,3C_3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
J1,GPIOL_08_CDI0,SPI_MOSI,Input,1A,3.3 V,3.3 V LVTTL / LVCMOS,weak pullup,User IO/Configuration
J2,GPIOL_09_CDI1,SPI_MISO,Output,1A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/Configuration
J3,TDI,,Input,1A,3.3 V,,,Configuration
J4,VCCIO1A,,Power,1A,3.3 V,,,VCCIO Power
J5,VCCIO4B,,Power,4B,,,,VCCIO Power
J6,VCC,,Power,,,,,1.2 V VCC Power
J7,GND,,Power,,,,,Ground
J8,GND,,Power,,,,,Ground
J9,VCCIO4A,,Power,4A,,,,VCCIO Power
J10,VCCA_BR,,Power,BR,,,,1.2 V PLL Power
J11,GPIOR_151_CBUS0,LED[5],Output,3C_3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/Configuration
J12,GPIOR_157_PLLIN,,Input,3C_3D_3E,3.3 V,,weak pullup,User IO/PLL_CLKIN
J13,GPIOB_RXP12_EXTFB0,,,4A,,,,User IO
K1,GPIOL_01_CCK,SPI_CLK,Input,1A,3.3 V,3.3 V LVTTL / LVCMOS,weak pullup,User IO/Configuration
K2,GND,,Power,,,,,Ground
K3,CRESET_N,,Input,1A,3.3 V,,,Configuration
K4,GPIOB_TXP03,,,4B,,,,User IO
K5,GPIOB_TXP06,,,4B,,,,User IO
K6,GPIOB_TXP09,,,4B,,,,User IO
K7,GPIOB_RXN00,,,4A,,,,User IO
K8,GPIOB_RXN02,,,4A,,,,User IO
K9,GPIOB_RXP04,,,4A,,,,User IO
K10,GPIOB_RXP06,,,4A,,,,User IO
K11,GPIOB_RXP08,,,4A,,,,User IO
K12,GND,,Power,,,,,Ground
K13,GPIOB_RXN12_EXTFB0,,,4A,,,,User IO
L1,GPIOL_00_SS_N,SPI_CS,Input,1A,3.3 V,3.3 V LVTTL / LVCMOS,weak pullup,User IO/Configuration
L2,CDONE,,Bidirectional,1A,3.3 V,,,Configuration
L3,GPIOB_TXN02,PAR_CS.TXN,Output,4B,,3.3 V LVTTL / LVCMOS,,User IO
L4,GPIOB_TXN03,,,4B,,,,User IO
L5,GPIOB_TXN06,,,4B,,,,User IO
L6,GPIOB_TXN09,,,4B,,,,User IO
L7,GPIOB_RXP00,,,4A,,,,User IO
L8,GPIOB_RXP02,,,4A,,,,User IO
L9,GPIOB_RXN04,,,4A,,,,User IO
L10,GPIOB_RXN06,,,4A,,,,User IO
L11,GPIOB_RXN08,,,4A,,,,User IO
L12,GND,,Power,,,,,Ground
L13,GPIOB_CLKN0,,,4A,,,,User IO/PLL_CLKIN
M1,GPIOB_TXN01,PAR_CLK.TXN,Output,4B,,3.3 V LVTTL / LVCMOS,,User IO
M2,GPIOB_TXP01,PAR_D[2].TXP,Output,4B,,3.3 V LVTTL / LVCMOS,,User IO
M3,GPIOB_TXP02,PAR_D[0].TXP,Output,4B,,3.3 V LVTTL / LVCMOS,,User IO
M4,GND,,Power,,,,,Ground
M5,GPIOB_TXN05,,,4B,,,,User IO
M6,GPIOB_TXN08,,,4B,,,,User IO
M7,GPIOB_RXN01,CSI_D[1].RXN,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
M8,GPIOB_RXP03,CSI_D[0].RXP,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
M9,GPIOB_RXP05,CSI_PCLK.RXP,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
M10,GPIOB_RXN07,CSI_D[6].RXN,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
M11,GPIOB_RXP09,CSI_VSYNC.RXP,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
M12,GPIOB_RXN09,CSI_HSYNC.RXN,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
M13,GPIOB_CLKP0,,,4A,,,,User IO/PLL_CLKIN
N1,GND,,Power,,,,,Ground
N2,GPIOB_TXN00,PAR_D[3].TXN,Output,4B,,3.3 V LVTTL / LVCMOS,,User IO
N3,GPIOB_TXP00,PAR_D[1].TXP,Output,4B,,3.3 V LVTTL / LVCMOS,,User IO
N4,REF_RES,,Input,4B,,,,
N5,GPIOB_TXP05,,,4B,,,,User IO
N6,GPIOB_TXP08,,,4B,,,,User IO
N7,GPIOB_RXP01,CSI_D[2].RXP,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
N8,GPIOB_RXN03,CSI_D[3].RXN,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
N9,GPIOB_RXN05,CSI_D[4].RXN,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
N10,GPIOB_RXP07,CSI_D[5].RXP,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
N11,GPIOB_RXP10,CSI_MCLK.RXP,Output,4A,,3.3 V LVTTL / LVCMOS,,User IO
N12,GPIOB_RXN10,CSI_D[7].RXN,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
N13,GND,,Power,,,,,Ground
